MMSI,Temps de reception,Sog,Cog,Longitude,Latitude,NavigationalStatus
236673000,2023-03-24 08:12:28.678158+00:00,10.1,340,15.61155,37.99212333333333,8
247333000,2023-03-24 08:12:28.678706+00:00,0,29,15.648950000000001,38.12164333333333,0
319200400,2023-03-24 08:12:28.683587+00:00,0,46.8,6.946445,43.52347666666667,0
232008765,2023-03-24 08:12:28.687865+00:00,1.3,57,-4.454166666666667,35.70366666666666,0
244690454,2023-03-24 08:12:28.691283+00:00,0,0,4.416831666666667,51.893813333333334,0
211169320,2023-03-24 08:12:28.691844+00:00,0,360,6.061806666666667,51.864808333333336,0
244372348,2023-03-24 08:12:28.693491+00:00,0.2,195.1,4.787465,52.514251666666674,0
232003963,2023-03-24 08:12:28.695154+00:00,0,247.2,-0.23165333333333335,53.66347666666666,3
229294000,2023-03-24 08:12:28.720447+00:00,2.3,112.6,9.988166666666666,53.537704999999995,0
227195140,2023-03-24 08:12:28.720964+00:00,0,6.3,0.23341499999999998,49.425938333333335,5
244130271,2023-03-24 08:12:28.721375+00:00,0,360,4.890681666666667,52.386518333333335,0
244690462,2023-03-24 08:12:28.722648+00:00,0.2,360,3.7775049999999997,51.16083666666667,0
264900301,2023-03-24 08:12:28.727964+00:00,0.3,24,28.685416666666665,44.106750000000005,0
775088000,2023-03-24 08:12:28.730037+00:00,0,51.8,-75.51018333333333,10.360588333333334,5
244740273,2023-03-24 08:12:28.760224+00:00,5.1,54,3.9293400000000003,51.370111666666666,0
244995000,2023-03-24 08:12:28.761770+00:00,9.8,235,16.310023333333334,55.99277166666666,0
230162620,2023-03-24 08:12:28.762745+00:00,0.1,136.5,25.424165000000002,60.164735,0
244660359,2023-03-24 08:12:28.763673+00:00,0,0,4.62787,52.137895,0
211440370,2023-03-24 08:12:28.763971+00:00,0.1,360,9.57272,54.207184999999996,0
255805905,2023-03-24 08:12:28.766300+00:00,0,135,29.167883333333336,40.85058333333333,0
352001544,2023-03-24 08:12:28.767271+00:00,11.9,108.8,13.771903333333334,36.659110000000005,0
244780182,2023-03-24 08:12:28.767963+00:00,0,360,4.892241666666666,52.358125,0
211259760,2023-03-24 08:12:28.768432+00:00,7.9,302.1,17.369491666666665,47.991465,0
576909000,2023-03-24 08:12:28.797954+00:00,0,109.3,7.198404999999999,53.35692166666667,5
277344000,2023-03-24 08:12:28.801419+00:00,0,223.2,-6.03513,52.98079,0
238022000,2023-03-24 08:12:28.834498+00:00,0,0,2.6317166666666667,39.56685,5
211518810,2023-03-24 08:12:28.835822+00:00,4.4,283.8,10.322000000000001,53.43497166666667,0
229846000,2023-03-24 08:12:28.836942+00:00,15.1,89.1,-27.762048333333333,37.49322666666667,0
224219620,2023-03-24 08:12:28.837249+00:00,13.7,353.9,-15.418951666666667,28.135088333333332,0
244396718,2023-03-24 08:12:28.837814+00:00,0,139.9,4.93501,51.83271333333333,5
269057388,2023-03-24 08:12:28.838569+00:00,0,22.3,8.462548333333334,49.475723333333335,0
246849000,2023-03-24 08:12:28.839077+00:00,0,17.7,6.933768333333333,53.332861666666666,0
244690558,2023-03-24 08:12:28.882782+00:00,0.6,175.6,4.48446,51.90336166666667,0
247210500,2023-03-24 08:12:28.883816+00:00,0,0,12.455266666666667,45.457253333333334,0
244690176,2023-03-24 08:12:28.885948+00:00,0,360,5.872076666666667,52.574691666666666,0
